turn,player_id,tasks_at_turn,acceptable_energy_level_at_turn
34,11,11,-9
34,2,9,0
34,11,9,0
34,8,9,0
34,15,9,0
34,16,9,0
34,6,9,0
34,5,9,0
34,14,9,0
34,12,9,0
34,4,9,0
34,1,9,0
34,3,9,0
34,17,9,0
34,10,9,0
34,9,9,0
34,18,9,0
34,19,9,0
34,0,9,0
35,2,9,0
34,11,9,0
34,8,9,0
34,15,9,0
34,16,9,0
34,6,9,0
34,5,9,0
34,14,9,0
34,12,9,0
34,4,9,0
34,1,9,0
34,3,9,0
34,17,9,0
34,10,9,0
34,9,9,0
34,18,9,0
34,19,9,0
34,0,9,0
35,2,9,0
35,11,9,0
35,8,9,0
35,15,9,0
35,16,9,0
35,6,9,0
35,5,9,0
35,14,9,0
35,12,9,0
35,4,9,0
35,1,9,0
35,3,9,0
35,17,9,0
35,10,9,0
35,9,9,0
35,18,9,0
35,19,9,0
35,0,9,0
36,2,9,-9
35,11,9,-9
35,8,9,-9
35,15,9,-9
35,16,9,-9
35,6,9,-9
35,5,9,-9
35,14,9,-9
35,12,9,-9
35,4,9,-9
35,1,9,-9
35,3,9,-9
35,17,9,-9
35,10,9,-9
35,9,9,-9
35,18,9,-9
35,19,9,-9
35,0,9,-9
36,2,8,-9
36,11,8,-9
36,8,8,-9
36,15,8,-9
36,16,8,-9
36,6,8,-9
36,5,8,-9
36,14,8,-9
36,12,8,-9
36,4,8,-9
36,1,8,-9
36,3,8,-9
36,17,8,-9
36,10,8,-9
36,9,8,-9
36,18,8,-9
36,19,8,-9
36,0,8,-9
37,2,8,0
36,11,8,0
36,8,8,0
36,15,8,0
36,16,8,0
36,6,8,0
36,5,8,0
36,14,8,0
36,12,8,0
36,4,8,0
36,1,8,0
36,3,8,0
36,17,8,0
36,10,8,0
36,9,8,0
36,18,8,0
36,19,8,0
36,0,8,0
37,2,8,0
37,11,8,0
37,8,8,0
37,15,8,0
37,16,8,0
37,6,8,0
37,5,8,0
37,14,8,0
37,12,8,0
37,4,8,0
37,1,8,0
37,3,8,0
37,17,8,0
37,10,8,0
37,9,8,0
37,18,8,0
37,19,8,0
37,0,8,0
38,2,8,-9
37,11,8,-9
37,8,8,-9
37,15,8,-9
37,16,8,-9
37,6,8,-9
37,5,8,-9
37,14,8,-9
37,12,8,-9
37,4,8,-9
37,1,8,-9
37,3,8,-9
37,17,8,-9
37,10,8,-9
37,9,8,-9
37,18,8,-9
37,19,8,-9
37,0,8,-9
38,2,8,-9
38,11,8,-9
38,8,8,-9
38,15,8,-9
38,16,8,-9
38,6,8,-9
38,5,8,-9
38,14,8,-9
38,12,8,-9
38,4,8,-9
38,1,8,-9
38,3,8,-9
38,17,8,-9
38,10,8,-9
38,9,8,-9
38,18,8,-9
38,19,8,-9
38,0,8,-9
39,2,7,-9
38,11,7,-9
37,8,7,-9
37,15,7,-9
37,16,7,-9
37,6,7,-9
37,5,7,-9
37,14,7,-9
37,12,7,-9
37,4,7,-9
37,1,7,-9
37,3,7,-9
37,17,7,-9
37,10,7,-9
37,9,7,-9
37,18,7,-9
37,19,7,-9
37,0,7,-9
38,2,7,0
39,11,7,0
38,8,7,0
38,15,7,0
38,16,7,0
38,6,7,0
38,5,7,0
38,14,7,0
38,12,7,0
38,4,7,0
38,1,7,0
38,3,7,0
38,17,7,0
38,10,7,0
38,9,7,0
38,18,7,0
38,19,7,0
38,0,7,0
39,2,7,0
40,11,7,0
37,8,7,0
37,15,7,0
37,16,7,0
37,6,7,0
37,5,7,0
37,14,7,0
37,12,7,0
37,4,7,0
37,1,7,0
37,3,7,0
